"IPEDSID","NAME","LADDR","LADDR2","LCITY","LSTATE","LZIP","LZIP4","COUNTRY","PHONE","STFIPS","COFIPS","LAT","LON","SECTOR","LEVEL","INST_TYPE","NAICS_CODE","NAICS_DESC","HI_OFFER","DEG_GRANT","LOCALE","STATUS","CLOSE_DATE","MERGE_ID","ALIAS","SIZE_SET","INST_SIZE","PT_ENROLL","FT_ENROLL","TOT_ENROLL","HOUSING","DORM_CAP","FTE","NCES_URL","SCHOOL_URL","SHELTER_ID","LAST_UPDAT"
126915,"Delta Montrose Technical College","1765 US Hwy 50",NA,"Delta","CO",81416,NA,"US","9708747671",8,8029,38.70252391,-108.031072,7,3,1,611519,"Other Technical and Trade Schools",0,2,42,"A","-2",-2,NA,-3,1,1500,115,1615,2,0,49,"http://nces.ed.gov/GLOBALLOCATOR/","www.dmtc.edu",NA,"9/1/10"
127219,"Glenwood Beauty Academy","51241 Hwy 6 and 24 Ste 1",NA,"Glenwood Springs","CO",81601,NA,"US","9709450485",8,8045,39.57546832,-107.4467188,6,2,3,611511,"Cosmetology and Barber Schools",0,2,33,"A","-2",-2,NA,-3,1,18,34,52,2,0,9,"http://nces.ed.gov/GLOBALLOCATOR/",NA,NA,"1/15/10"
128391,"Western State College of Colorado","600 N Adams",NA,"Gunnison","CO",81231,NA,"US","9709430120",8,8051,38.54742067,-106.91971,1,1,1,611310,"Colleges, Universities, and Professional Schools",30,1,33,"A","-2",-2,NA,10,2,273,1850,2123,1,1130,301,"http://nces.ed.gov/GLOBALLOCATOR/","www.western.edu",NA,"1/15/10"
127185,"Fort Lewis College","1000 Rim Drive",NA,"Durango","CO",81301,3999,"US","9702477010",8,8067,37.27542817,-107.8670026,1,1,1,611310,"Colleges, Universities, and Professional Schools",30,1,32,"A","-2",-2,"FLC",13,2,336,3410,3746,1,1391,598,"http://nces.ed.gov/GLOBALLOCATOR/","www.fortlewis.edu",NA,"9/1/10"
126164,"The Salon Professional Academy","2938 North Ave #B",NA,"Grand Junction","CO",81504,NA,"US","9702451110",8,8077,39.07819623,-108.5076184,6,2,3,611519,"Other Technical and Trade Schools",0,2,13,"A","-2",-2,NA,-3,1,0,74,74,2,0,11,"http://nces.ed.gov/GLOBALLOCATOR/","www.thesalonprofessionalacademy.net",NA,"9/1/10"
128188,"Intellitec College-Grand Junction","772 Horizon Dr",NA,"Grand Junction","CO",81506,NA,"US","9702458101",8,8077,39.11634628,-108.5306203,6,2,3,611210,"Junior Colleges",40,1,13,"A","-2",-2,NA,1,1,0,770,770,2,0,84,"http://nces.ed.gov/GLOBALLOCATOR/","www.intelliteccollege.com",NA,"9/1/10"
127556,"Mesa State College","1100 North Avenue",NA,"Grand Junction","CO",81501,3122,"US","9702481020",8,8077,39.07635448,-108.5402814,1,1,1,611310,"Colleges, Universities, and Professional Schools",20,1,13,"A","-2",-2,NA,12,3,1772,4384,6156,1,1290,642,"http://nces.ed.gov/GLOBALLOCATOR/","www.mesastate.edu",NA,"1/15/10"
128036,"San Juan Basin Technical College","33057 Highway 160",NA,"Mancos","CO",81328,9196,"US","9705658457",8,8083,37.35387091,-108.4363426,7,3,1,611519,"Other Technical and Trade Schools",0,2,42,"A","-2",-2,NA,-3,1,233,156,389,2,0,69,"http://nces.ed.gov/GLOBALLOCATOR/","www.sjbtc.edu",NA,"9/1/10"
126748,"Colorado Northwestern Community College","500 Kennedy Drive",NA,"Rangely","CO",81648,3598,"US","9706752261",8,8103,40.08074538,-108.7902962,4,2,1,611210,"Junior Colleges",40,1,43,"A","-2",-2,NA,2,2,771,494,1265,1,320,144,"http://nces.ed.gov/GLOBALLOCATOR/","www.cncc.edu",NA,"1/15/10"
126711,"Colorado Mountain College","831 Grand Ave.",NA,"Glenwood Springs","CO",81601,233,"US","9709458691",8,8045,39.46998356,-107.2374845,4,2,1,611210,"Junior Colleges",40,1,33,"A","-2",-2,NA,3,3,3730,1449,5179,1,620,3588,"http://nces.ed.gov/GLOBALLOCATOR/","www.coloradomtn.edu",NA,"1/15/10"
